time,beat_pulses,rate_analogue
1.3,4.993982315063477,0
1.304,4.993981838226318,0
1.308,4.993981838226318,0
1.312,4.993981838226318,0
1.316,4.993981838226318,0
1.32,4.99398136138916,0
1.324,4.99398136138916,0
1.328,4.99398136138916,0
1.332,4.99398136138916,0
1.336,4.993980884552002,0
1.34,4.993980884552002,0
1.344,4.993980407714844,0
1.348,4.993980407714844,0
1.352,4.9939799308776855,0
1.356,4.9939799308776855,0
1.36,4.993979454040527,0
1.364,4.993979454040527,0
1.368,4.993979454040527,0
1.372,4.993978977203369,0
1.376,4.993978977203369,0
1.38,4.993978500366211,0
1.384,0.009152669919088537,0
1.388,0.00915228296071291,0
1.392,0.009151998907327652,0
1.396,0.009151758626103401,0
1.4,0.009151555597782135,0
1.404,0.009151376783847809,0
1.408,0.009151233360171318,0
1.412,0.00915112067013979,0
1.416,0.00915104802697897,0
1.42,0.00915096327662468,0
1.424,0.009150873869657516,0
1.428,0.00915076769888401,0
1.432,0.009150637313723564,0
1.436,0.009150474332273006,0
1.44,0.009150276891887188,0
1.444,0.009150099009275436,0
1.448,0.009149949066340923,0
1.452,0.009149820543825626,0
1.456,0.009149701334536076,0
1.46,0.009149606339633465,0
1.464,0.009149529971182346,0
1.468,0.009149473160505295,0
1.472,0.009149421538625444,0
1.476,0.009149360237643123,0
1.48,0.009149277582764626,0
1.484,0.009149170480668545,0
1.488,0.009149037301540375,0
1.492,0.009148870594799519,0
1.496,0.009148700162768364,0
1.5,0.009148533456027508,0
1.504,0.009148407727479935,0
1.508,0.00914831180125475,0
1.512,0.009148255339823663,0
1.516,0.00914821308106184,0
1.52,0.009148165583610535,0
1.524,0.009148110635578632,0
1.528,0.009148060344159603,0
1.532,0.009148001670837402,0
1.536,0.009147913195192814,0
1.54,0.009147799987759855,0
1.544,0.00914769060909748,0
1.548,0.00914759375154972,0
1.552,0.009147483855485916,0
1.556,0.009147383272647858,0
1.56,0.009147297590970993,0
1.564,0.009147241097339925,0
1.568,0.009147210977971554,0
1.572,0.009147199802100658,0
1.576,0.00914717990359882,0
1.58,0.009147141128778458,0
1.584,0.009147083386778831,0
1.588,0.009147020056843758,0
1.592,0.009146946482360363,0
1.596,0.009146882221102715,0
1.6,0.009146826341748238,0
1.604,0.009146790020167828,0
1.608,0.009146787226200104,0
1.612,0.009146800264716148,0
1.616,0.009146816097199917,0
1.62,0.009146839380264282,0
1.624,0.009146847762167454,0
1.628,0.009146847762167454,0
1.632,0.00914682261645794,0
1.636,0.009146776050329208,0
1.64,0.009146722964942455,0
1.644,0.009146667085587978,0
1.648,0.00914663914591074,0
1.652,0.009146632626652718,0
1.656,0.00914665125310421,0
1.66,0.009146676398813725,0
1.664,0.009146707132458687,0
1.668,0.009146753698587418,0
1.672,0.009146812371909618,0
1.676,0.009146859869360924,0
1.68,0.009146882221102715,0
1.684,0.009146897122263908,0
1.688,0.009146900847554207,0
1.692,0.009146902710199356,0
1.696,0.009146912954747677,0
1.7,0.009146934375166893,0
1.704,0.009146977216005325,0
1.708,0.00914703868329525,0
1.712,0.009147110395133495,0
1.716,0.009147192351520061,0
1.72,0.009147264063358307,0
1.724,0.00914732925593853,0
1.728,0.009147396311163902,0
1.732,0.009147451259195805,0
1.736,0.009147492237389088,0
1.74,0.009147505275905132,0
1.744,0.009147504344582558,0
1.748,0.009147495031356812,0
1.752,0.00914749689400196,0
1.756,0.009147513657808304,0
1.76,0.009147546254098415,0
1.764,0.009147590026259422,0
1.768,0.00914765428751707,0
1.772,0.009147710166871548,0
1.776,0.009147745557129383,0
1.78,0.009147770702838898,0
1.784,0.009147798642516136,0
1.788,0.009147818200290203,0
1.792,0.00914779957383871,0
1.796,0.00914776511490345,0
1.8,0.00914773065596819,0
1.804,0.00914771482348442,0
1.808,0.009147736243903637,0
1.812,0.00914778932929039,0
1.816,0.009147862903773785,0
1.82,0.00914794486016035,0
1.824,0.009148018434643745,0
1.828,0.009148091077804565,0
1.832,0.009148146957159042,0
1.836,0.00914818250642317,0
1.84,0.009148202347569167,0
1.844,0.009148208377882838,0
1.848,0.009148201905190945,0
1.852,0.009148196317255497,0
1.856,0.009148231086631617,0
1.86,0.009148296900093555,0
1.864,0.009148393757641315,0
1.868,0.009148523211479187,0
1.872,0.009148637764155865,0
1.876,0.009148755110800266,0
1.88,0.009148859418928623,0
1.884,0.009148940443992615,0
1.888,0.009148997254669666,0
1.892,0.009149043820798397,0
1.896,0.009149078279733658,0
1.9,0.009149099700152874,0
1.904,0.009149150922894478,0
1.908,0.009149251778314754,0
1.912,0.009149400517344475,0
1.916,0.009149594232439995,0
1.92,0.009149797260761261,0
1.924,0.009149990044534206,0
1.928,0.009150156751275063,0
1.932,0.00915029738098383,0
1.936,0.00915041659027338,0
1.94,0.009150499477982521,0
1.944,0.009150592610239983,0
1.948,0.009150713682174683,0
1.952,0.009150860831141472,0
1.956,0.009151040576398373,0
1.96,0.009151235222816467,0
1.964,0.00915145967155695,0
1.968,0.009151733480393887,0
1.972,0.00915204081684351,0
1.976,0.00915243849158287,0
1.98,0.0119525191291942,0
1.984,4.993978977203369,0
1.988,4.993978977203369,0
1.992,4.993979454040527,0
1.996,4.993979454040527,0
2.0,4.9939799308776855,0
2.004,4.9939799308776855,0
2.008,4.993980407714844,0
2.012,4.993980884552002,0
2.016,4.993980884552002,0
2.02,4.99398136138916,0
2.024,4.99398136138916,0
2.028,4.993981838226318,0
2.032,4.993981838226318,0
2.036,4.993982315063477,0
2.04,4.993982315063477,0
2.044,4.993982791900635,0
2.048,4.993982791900635,0
2.052,4.993982791900635,0
2.056,4.993983268737793,0
2.06,4.993983268737793,0
2.064,4.993983722314602,0
2.068,4.993983745574951,0
2.072,4.993984222412109,0
2.076,4.993984222412109,0
2.08,4.993984699249268,0
2.084,4.993984699249268,0
2.088,4.993984699249268,0
2.092,4.993985176086426,0
2.096,4.993985176086426,0
2.1,4.993985176086426,0
2.104,4.993985176086426,0
2.108,4.993985652923584,0
2.112,4.993985652923584,0
2.116,4.993985652923584,0
2.12,4.993986129760742,0
2.124,4.993986129760742,0
2.128,4.993986129760742,0
2.132,4.9939866065979,0
2.136,4.9939866065979,0
2.14,4.9939866065979,0
2.144,4.9939866065979,0
2.148,4.9939866065979,0
2.152,4.9939866065979,0
2.156,4.9939866065979,0
2.16,4.9939866065979,0
2.164,4.9939866065979,0
2.168,4.993987083435059,0
2.172,4.993987083435059,0
2.176,4.993987083435059,0
2.18,4.993987083435059,0
2.184,4.993987083435059,0
2.188,4.993987083435059,0
2.192,4.993987083435059,0
2.196,4.9939866065979,0
2.2,4.9939866065979,0
2.204,4.9939866065979,0
2.208,4.9939866065979,0
2.212,4.9939866065979,0
2.216,4.9939866065979,0
2.22,4.9939866065979,0
2.224,4.9939866065979,0
2.228,4.993986129760742,0
2.232,4.993986129760742,0
2.236,4.993986129760742,0
2.24,4.993986129760742,0
2.244,4.993985652923584,0
2.248,4.993985652923584,0
2.252,4.993985652923584,0
2.256,4.993985176086426,0
2.26,4.993985176086426,0
2.264,4.993985176086426,0
2.268,4.993985176086426,0
2.272,4.993985176086426,0
2.276,4.993985176086426,0
2.28,4.993984699249268,0
2.284,4.993984699249268,0
2.288,4.993984699249268,0
2.292,4.993984222412109,0
2.296,4.993984222412109,0
2.3,4.993984222412109,0
2.304,4.993983745574951,0
2.308,4.993983745574951,0
2.312,4.993983745574951,0
2.316,4.9939833879470825,0
2.32,4.993983268737793,0
2.324,4.993983268737793,0
2.328,4.993983268737793,0
2.332,4.993982791900635,0
2.336,4.993982791900635,0
2.34,4.993982791900635,0
2.344,4.993982315063477,0
2.348,4.993982315063477,0
2.352,4.993981838226318,0
2.356,4.993981838226318,0
2.36,4.993981838226318,0
2.364,4.993981838226318,0
2.368,4.993981838226318,0
2.372,4.99398136138916,0
2.376,4.99398136138916,0
2.38,4.99398136138916,0
2.384,4.99398136138916,0
2.388,4.993980884552002,0
2.392,4.993980884552002,0
2.396,4.993980407714844,0
2.4,4.993980407714844,0
2.404,4.9939799308776855,0
2.408,4.9939799308776855,0
2.412,4.9939799308776855,0
2.416,4.993979454040527,0
2.42,4.993979454040527,0
2.424,4.993979454040527,0
2.428,4.993979454040527,0
2.432,4.993978977203369,0
2.436,4.993978500366211,0
2.44,0.009152463637292385,0
2.444,0.009152074344456196,0
2.448,0.009151813574135303,0
2.452,0.009151586331427097,0
2.456,0.009151403792202473,0
2.46,0.009151247330009937,0
2.464,0.00915114302188158,0
2.468,0.009151077829301357,0
2.472,0.009151000529527664,0
2.476,0.009150912053883076,0
2.48,0.009150804951786995,0
2.484,0.009150692261755466,0
2.488,0.009150569327175617,0
2.492,0.009150431491434574,0
2.496,0.009150269850179917,0
2.5,0.009150109253823757,0
2.504,0.00914996862411499,0
2.508,0.009149848483502865,0
2.512,0.00914976466447115,0
2.516,0.009149706922471523,0
2.52,0.009149648249149323,0
2.524,0.009149584919214249,0
2.528,0.009149503894150257,0
2.532,0.00914940144866705,0
2.536,0.009149274788796902,0
2.54,0.009149127639830112,0
2.544,0.009148958139121532,0
2.548,0.009148787707090378,0
2.552,0.009148630313575268,0
2.556,0.00914851389825344,0
2.56,0.00914844125509262,0
2.564,0.009148404002189636,0
2.568,0.009148374199867249,0
2.572,0.009148353710770607,0
2.576,0.009148326702415943,0
2.58,0.009148267097771168,0
2.584,0.009148177690804005,0
2.588,0.00914807803928852,0
2.592,0.009147968143224716,0
2.596,0.009147868491709232,0
2.6,0.00914777722209692,0
2.604,0.00914769247174263,0
2.608,0.009147647768259048,0
2.612,0.00914763193577528,0
2.616,0.009147628210484982,0
2.62,0.009147623553872108,0
2.624,0.009147613309323788,0
2.628,0.009147587232291698,0
2.632,0.009147539734840393,0
2.636,0.009147463366389275,0
2.64,0.009147378616034985,0
2.644,0.00914729479700327,0
2.648,0.009147224947810173,0
2.652,0.0091471616178751,0
2.656,0.009147105738520622,0
2.66,0.009147061966359615,0
2.664,0.00914706103503704,0
2.668,0.009147079661488533,0
2.672,0.009147094562649727,0
2.676,0.00914712157100439,0
2.68,0.009147131815552711,0
2.684,0.009147116914391518,0
2.688,0.009147089906036854,0
2.692,0.009147060103714466,0
2.696,0.009147044271230698,0
2.7,0.009147025644779205,0
2.704,0.00914701260626316,0
2.708,0.009147011674940586,0
2.712,0.00914702843874693,0
2.716,0.00914706476032734,0
2.72,0.009147120639681816,0
2.724,0.009147177450358868,0
2.728,0.009147237986326218,0
2.732,0.009147283621132374,0
2.736,0.00914730504155159,0
2.74,0.00914729107171297,0
2.744,0.009147262200713158,0
2.748,0.009147223085165024,0
2.752,0.009147183038294315,0
2.756,0.009147166274487972,0
2.76,0.00914717186242342,0
2.764,0.009147200126980627,0
2.768,0.009147251024842262,0
2.772,0.009147321805357933,0
2.776,0.009147381410002708,0
2.78,0.009147397242486477,0
2.784,0.009147383272647858,0
2.788,0.00914736744016409,0
2.792,0.009147326461970806,0
2.796,0.009147292003035545,0
2.8,0.009147278033196926,0
2.804,0.009147278033196926,0
2.808,0.009147295728325844,0
2.812,0.009147318080067635,0
2.816,0.009147348813712597,0
2.82,0.00914738792926073,0
2.824,0.009147447533905506,0
2.828,0.009147511795163155,0
2.832,0.009147564880549908,0
2.836,0.00914760772138834,0
2.84,0.009147637523710728,0
2.844,0.009147662669420242,0
2.848,0.009147698059678078,0
2.852,0.009147746488451958,0
2.856,0.00914780329912901,0
2.86,0.009147871285676956,0
2.864,0.009147952310740948,0
2.868,0.009148066863417625,0
2.872,0.009148192591965199,0
2.876,0.009148306213319302,0
2.88,0.009148390032351017,0
2.884,0.009148457436822355,0
2.888,0.009148499928414822,0
2.892,0.009148512966930866,0
2.896,0.00914851576089859,0
2.9,0.00914851576089859,0
2.904,0.009148555807769299,0
2.908,0.009148631244897842,0
2.912,0.00914874579757452,0
2.916,0.009148881770670414,0
2.92,0.009149034507572651,0
2.924,0.009149186313152313,0
2.928,0.009149347431957722,0
2.932,0.009149490855634212,0
2.936,0.009149600751698017,0
2.94,0.009149688296020031,0
2.944,0.009149792604148388,0
2.948,0.009149904362857342,0
2.952,0.009150013172378143,0
2.956,0.009150153025984764,0
2.96,0.009150344878435135,0
2.964,0.009150576777756214,0
2.968,0.00915084220468998,0
2.972,0.00915113091468811,0
2.976,0.009151429869234562,0
2.98,0.009151698090136051,0
2.984,0.009151974692940712,0
2.988,0.00915229320526123,0
2.992,0.00915291253477335,0
2.996,4.993978977203369,0
3.0,4.993978977203369,0
3.004,4.993979454040527,0
3.008,4.9939799308776855,0
3.012,4.9939799308776855,0
3.016,4.993980407714844,0
3.02,4.993980884552002,0
3.024,4.993980884552002,0
3.028,4.99398136138916,0
3.032,4.99398136138916,0
3.036,4.993981838226318,0
3.04,4.993981838226318,0
3.044,4.993981838226318,0
3.048,4.993982315063477,0
3.052,4.993982315063477,0
3.056,4.993982315063477,0
3.06,4.993982791900635,0
3.064,4.993982791900635,0
3.068,4.993983268737793,0
3.072,4.993983268737793,0
3.076,4.993983745574951,0
3.08,4.993983745574951,0
3.084,4.99398419915176,0
3.088,4.993984222412109,0
3.092,4.993984222412109,0
3.096,4.993984222412109,0
3.1,4.993984699249268,0
3.104,4.993984699249268,0
3.108,4.993984699249268,0
3.112,4.993985176086426,0
3.116,4.993985176086426,0
3.12,4.993985176086426,0
3.124,4.993985652923584,0
3.128,4.993985652923584,0
3.132,4.993985652923584,0
3.136,4.993985652923584,0
3.14,4.993985652923584,0
3.144,4.993985652923584,0
3.148,4.993985652923584,0
3.152,4.993986129760742,0
3.156,4.993986129760742,0
3.16,4.993986129760742,0
3.164,4.993986129760742,0
3.168,4.993986129760742,0
3.172,4.9939866065979,0
3.176,4.9939866065979,0
3.18,4.9939866065979,0
3.184,4.9939866065979,0
3.188,4.993986129760742,0
3.192,4.993986129760742,0
3.196,4.993986129760742,0
3.2,4.993986129760742,0
3.204,4.993986129760742,0
3.208,4.993986129760742,0
3.212,4.993986129760742,0
